year;class;Theme;Question;percent;size
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.5;2941
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.5;708
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.5;1101
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.6;634
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.6;61
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.7;2747
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;1071
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;74
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;675
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;914
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;576
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;51.8;1387
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;52.0;1362
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;52.1;100
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;52.2;850
2015;Fruits and Vegetables;Fruits and Vegetables - Behavior;Percent of adults who report consuming fruit less than one time daily;52.2;60
2011;Obesity / Weight Status;Obesity / Weight Status;Percent of adults aged 18 years and older who have obesity;0.9;91
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.0;1819
2011;Obesity / Weight Status;Obesity / Weight Status;Percent of adults aged 18 years and older who have an overweight classification;10.1;56
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.1;3886
2011;Obesity / Weight Status;Obesity / Weight Status;Percent of adults aged 18 years and older who have obesity;10.2;477
2011;Obesity / Weight Status;Obesity / Weight Status;Percent of adults aged 18 years and older who have obesity;10.3;799
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.3;4211
2011;Obesity / Weight Status;Fruits and Vegetables - Behavior;Percent of adults who report consuming vegetables less than one time daily;10.3;188
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.4;83
2011;Obesity / Weight Status;Fruits and Vegetables - Behavior;Percent of adults who report consuming vegetables less than one time daily;10.4;2627
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.5;2791
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.6;5362
2011;Obesity / Weight Status;Physical Activity - Behavior;Percent of adults who engage in no leisure-time physical activity;10.6;3774
2011;Obesity / Weight Status;Obesity / Weight Status;Percent of adults aged 18 years and older who have obesity;10.7;55
